8/30/2018|0.52|111.50989712234
9/4/2018|4.18|927.022043941229
9/27/2018|0.30|18.3971734095506
9/29/2018|1.47|492.270244886843
10/2/2018|6.87|3193.0642024906
10/2/2018|1.17|247.382929358716
10/10/2018|1.87|622.276691244769
10/19/2018|1.47|611.100368644625
10/29/2018|3.52|842.538513898417
11/5/2018|2.97|918.219061457498
11/5/2018|2.18|602.617815602033
11/6/2018|2.13|502.730407810888
11/6/2018|0.53|38.5616953768951
12/13/2018|2.47|547.813242520295
12/17/2018|3.18|1635.16561914093
12/27/2018|1.33|368.653882694902
12/31/2018|5.51|2086.95368822749
1/1/2019|3.35|718.576808162371
1/2/2019|2.70|715.662959790889
